endDate,startDate,type,unit,value
2022-04-17 01:01:21 -0400,2022-04-17 01:01:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,23.5
2022-04-17 01:15:15 -0400,2022-04-17 01:15:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2022-04-17 01:27:40 -0400,2022-04-17 01:27:40 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2022-04-17 01:38:06 -0400,2022-04-17 01:38:06 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2022-04-17 01:40:35 -0400,2022-04-17 01:40:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2022-04-17 01:52:01 -0400,2022-04-17 01:52:01 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 02:08:54 -0400,2022-04-17 02:08:54 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2022-04-17 02:18:50 -0400,2022-04-17 02:18:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 02:22:49 -0400,2022-04-17 02:22:49 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2022-04-17 02:29:46 -0400,2022-04-17 02:29:46 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 02:46:39 -0400,2022-04-17 02:46:39 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2022-04-17 02:50:08 -0400,2022-04-17 02:50:08 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2022-04-17 03:17:57 -0400,2022-04-17 03:17:57 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2022-04-17 03:23:54 -0400,2022-04-17 03:23:54 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2022-04-17 03:31:51 -0400,2022-04-17 03:31:51 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 03:47:45 -0400,2022-04-17 03:47:45 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2022-04-17 03:49:14 -0400,2022-04-17 03:49:14 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2022-04-17 04:06:37 -0400,2022-04-17 04:06:37 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 04:10:36 -0400,2022-04-17 04:10:36 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2022-04-17 04:26:59 -0400,2022-04-17 04:26:59 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 04:33:57 -0400,2022-04-17 04:33:57 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 04:47:21 -0400,2022-04-17 04:47:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2022-04-17 04:49:21 -0400,2022-04-17 04:49:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 05:07:13 -0400,2022-04-17 05:07:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 05:14:11 -0400,2022-04-17 05:14:11 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2022-04-17 05:26:06 -0400,2022-04-17 05:26:06 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2022-04-17 05:31:04 -0400,2022-04-17 05:31:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2022-04-17 05:44:29 -0400,2022-04-17 05:44:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2022-04-17 05:53:25 -0400,2022-04-17 05:53:25 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2022-04-17 05:59:53 -0400,2022-04-17 05:59:53 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 06:41:36 -0400,2022-04-17 06:41:36 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18
2022-04-17 06:52:32 -0400,2022-04-17 06:52:32 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18
2022-04-17 07:03:57 -0400,2022-04-17 07:03:57 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18
2022-04-17 07:17:22 -0400,2022-04-17 07:17:22 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2022-04-17 07:26:19 -0400,2022-04-17 07:26:19 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2022-04-17 07:36:15 -0400,2022-04-17 07:36:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 07:41:13 -0400,2022-04-17 07:41:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2022-04-17 07:48:10 -0400,2022-04-17 07:48:10 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2022-04-17 07:57:36 -0400,2022-04-17 07:57:36 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2022-04-17 08:15:29 -0400,2022-04-17 08:15:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2022-04-17 08:23:26 -0400,2022-04-17 08:23:26 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2023-04-17 02:16:05 -0400,2023-04-17 02:16:05 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,21
2023-04-17 02:22:02 -0400,2023-04-17 02:22:02 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,19.5
2023-04-17 02:30:59 -0400,2023-04-17 02:30:59 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2023-04-17 02:42:24 -0400,2023-04-17 02:42:24 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2023-04-17 02:52:50 -0400,2023-04-17 02:52:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2023-04-17 03:00:47 -0400,2023-04-17 03:00:47 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 03:16:41 -0400,2023-04-17 03:16:41 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2023-04-17 03:23:08 -0400,2023-04-17 03:23:08 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2023-04-17 03:35:04 -0400,2023-04-17 03:35:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 03:47:29 -0400,2023-04-17 03:47:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 03:55:55 -0400,2023-04-17 03:55:55 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2023-04-17 04:02:53 -0400,2023-04-17 04:02:53 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 04:14:18 -0400,2023-04-17 04:14:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2023-04-17 04:20:16 -0400,2023-04-17 04:20:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 04:31:41 -0400,2023-04-17 04:31:41 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 04:37:39 -0400,2023-04-17 04:37:39 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 04:56:31 -0400,2023-04-17 04:56:31 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2023-04-17 05:02:59 -0400,2023-04-17 05:02:59 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 05:11:25 -0400,2023-04-17 05:11:25 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2023-04-17 05:23:50 -0400,2023-04-17 05:23:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2023-04-17 05:30:18 -0400,2023-04-17 05:30:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2023-04-17 05:42:13 -0400,2023-04-17 05:42:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2023-04-17 05:47:11 -0400,2023-04-17 05:47:11 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 05:58:07 -0400,2023-04-17 05:58:07 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2023-04-17 06:12:01 -0400,2023-04-17 06:12:01 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2023-04-17 06:18:59 -0400,2023-04-17 06:18:59 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 06:28:25 -0400,2023-04-17 06:28:25 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 06:36:51 -0400,2023-04-17 06:36:51 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 06:53:15 -0400,2023-04-17 06:53:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2023-04-17 07:14:07 -0400,2023-04-17 07:14:07 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2023-04-17 07:25:32 -0400,2023-04-17 07:25:32 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 07:35:58 -0400,2023-04-17 07:35:58 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 07:45:54 -0400,2023-04-17 07:45:54 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 07:49:23 -0400,2023-04-17 07:49:23 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 08:11:04 -0400,2023-04-17 08:11:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 08:19:31 -0400,2023-04-17 08:19:31 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 08:25:58 -0400,2023-04-17 08:25:58 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2023-04-17 08:36:54 -0400,2023-04-17 08:36:54 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2023-04-17 08:42:52 -0400,2023-04-17 08:42:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2023-04-17 08:52:18 -0400,2023-04-17 08:52:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,20
2024-04-17 00:50:11 -0400,2024-04-17 00:50:11 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,21
2024-04-17 01:07:04 -0400,2024-04-17 01:07:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18
2024-04-17 01:14:01 -0400,2024-04-17 01:14:01 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2024-04-17 01:27:56 -0400,2024-04-17 01:27:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2024-04-17 01:34:23 -0400,2024-04-17 01:34:23 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2024-04-17 01:47:48 -0400,2024-04-17 01:47:48 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 01:56:15 -0400,2024-04-17 01:56:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 02:03:12 -0400,2024-04-17 02:03:12 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2024-04-17 02:16:07 -0400,2024-04-17 02:16:07 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2024-04-17 02:26:33 -0400,2024-04-17 02:26:33 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2024-04-17 02:33:30 -0400,2024-04-17 02:33:30 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 02:46:55 -0400,2024-04-17 02:46:55 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 02:48:24 -0400,2024-04-17 02:48:24 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 03:00:49 -0400,2024-04-17 03:00:49 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 03:07:46 -0400,2024-04-17 03:07:46 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2024-04-17 03:23:40 -0400,2024-04-17 03:23:40 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2024-04-17 03:27:38 -0400,2024-04-17 03:27:38 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2024-04-17 03:39:04 -0400,2024-04-17 03:39:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2024-04-17 03:53:28 -0400,2024-04-17 03:53:28 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2024-04-17 04:04:24 -0400,2024-04-17 04:04:24 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2024-04-17 04:09:22 -0400,2024-04-17 04:09:22 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 04:26:15 -0400,2024-04-17 04:26:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 04:28:44 -0400,2024-04-17 04:28:44 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 04:44:08 -0400,2024-04-17 04:44:08 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 04:47:37 -0400,2024-04-17 04:47:37 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2024-04-17 04:58:32 -0400,2024-04-17 04:58:32 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2024-04-17 05:07:29 -0400,2024-04-17 05:07:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2024-04-17 05:19:24 -0400,2024-04-17 05:19:24 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2024-04-17 05:33:48 -0400,2024-04-17 05:33:48 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2024-04-17 05:38:46 -0400,2024-04-17 05:38:46 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2024-04-17 05:50:12 -0400,2024-04-17 05:50:12 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,23
2024-04-17 06:03:07 -0400,2024-04-17 06:03:07 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2024-04-17 06:07:05 -0400,2024-04-17 06:07:05 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,20
2024-04-17 06:48:48 -0400,2024-04-17 06:48:48 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2025-04-17 00:01:42 -0400,2025-04-17 00:01:42 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2025-04-17 00:10:39 -0400,2025-04-17 00:10:39 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 00:24:33 -0400,2025-04-17 00:24:33 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 00:32:30 -0400,2025-04-17 00:32:30 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 00:35:59 -0400,2025-04-17 00:35:59 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 00:51:52 -0400,2025-04-17 00:51:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 00:56:50 -0400,2025-04-17 00:56:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 01:12:14 -0400,2025-04-17 01:12:14 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 01:15:13 -0400,2025-04-17 01:15:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 01:29:08 -0400,2025-04-17 01:29:08 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,13
2025-04-17 01:39:33 -0400,2025-04-17 01:39:33 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 01:50:29 -0400,2025-04-17 01:50:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,19
2025-04-17 02:03:54 -0400,2025-04-17 02:03:54 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2025-04-17 02:06:23 -0400,2025-04-17 02:06:23 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,19
2025-04-17 02:23:16 -0400,2025-04-17 02:23:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2025-04-17 02:24:16 -0400,2025-04-17 02:24:16 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 02:34:42 -0400,2025-04-17 02:34:42 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,31.5
2025-04-17 02:44:08 -0400,2025-04-17 02:44:08 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 02:54:04 -0400,2025-04-17 02:54:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 03:07:29 -0400,2025-04-17 03:07:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 03:15:55 -0400,2025-04-17 03:15:55 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2025-04-17 03:26:21 -0400,2025-04-17 03:26:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2025-04-17 03:39:46 -0400,2025-04-17 03:39:46 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2025-04-17 03:44:44 -0400,2025-04-17 03:44:44 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 04:02:37 -0400,2025-04-17 04:02:37 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 04:05:06 -0400,2025-04-17 04:05:06 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2025-04-17 04:22:29 -0400,2025-04-17 04:22:29 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 04:24:58 -0400,2025-04-17 04:24:58 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 04:48:18 -0400,2025-04-17 04:48:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2025-04-17 05:01:43 -0400,2025-04-17 05:01:43 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 05:12:09 -0400,2025-04-17 05:12:09 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2025-04-17 05:14:38 -0400,2025-04-17 05:14:38 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 05:29:32 -0400,2025-04-17 05:29:32 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 05:38:58 -0400,2025-04-17 05:38:58 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17.5
2025-04-17 05:52:23 -0400,2025-04-17 05:52:23 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,21.5
2025-04-17 05:58:21 -0400,2025-04-17 05:58:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 06:07:47 -0400,2025-04-17 06:07:47 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,21.5
2025-04-17 06:16:14 -0400,2025-04-17 06:16:14 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2025-04-17 06:26:40 -0400,2025-04-17 06:26:40 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,24
2025-04-17 06:39:35 -0400,2025-04-17 06:39:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2025-04-17 06:44:03 -0400,2025-04-17 06:44:03 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 23:06:34 -0400,2025-04-17 23:06:34 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 23:21:28 -0400,2025-04-17 23:21:28 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2025-04-17 23:26:26 -0400,2025-04-17 23:26:26 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2025-04-17 23:36:52 -0400,2025-04-17 23:36:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2025-04-17 23:43:19 -0400,2025-04-17 23:43:19 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-17 00:35:42 -0400,2026-04-17 00:35:42 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18.5
2026-04-17 00:47:37 -0400,2026-04-17 00:47:37 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-17 00:50:36 -0400,2026-04-17 00:50:36 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-17 01:05:30 -0400,2026-04-17 01:05:30 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-17 01:14:56 -0400,2026-04-17 01:14:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-17 01:29:20 -0400,2026-04-17 01:29:20 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2026-04-17 01:36:48 -0400,2026-04-17 01:36:48 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-17 01:49:13 -0400,2026-04-17 01:49:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-17 01:58:09 -0400,2026-04-17 01:58:09 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-17 02:08:35 -0400,2026-04-17 02:08:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 02:16:02 -0400,2026-04-17 02:16:02 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18
2026-04-17 02:22:59 -0400,2026-04-17 02:22:59 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-17 02:29:57 -0400,2026-04-17 02:29:57 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-17 02:41:52 -0400,2026-04-17 02:41:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-17 02:58:15 -0400,2026-04-17 02:58:15 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 03:08:41 -0400,2026-04-17 03:08:41 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-17 03:11:10 -0400,2026-04-17 03:11:10 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-17 03:23:35 -0400,2026-04-17 03:23:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-17 03:38:00 -0400,2026-04-17 03:38:00 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-17 03:46:56 -0400,2026-04-17 03:46:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-17 03:53:53 -0400,2026-04-17 03:53:53 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 04:07:18 -0400,2026-04-17 04:07:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 04:09:47 -0400,2026-04-17 04:09:47 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 04:19:13 -0400,2026-04-17 04:19:13 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18
2026-04-17 04:37:06 -0400,2026-04-17 04:37:06 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 04:47:32 -0400,2026-04-17 04:47:32 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 04:49:31 -0400,2026-04-17 04:49:31 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 04:59:28 -0400,2026-04-17 04:59:28 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-17 05:12:22 -0400,2026-04-17 05:12:22 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-17 05:27:46 -0400,2026-04-17 05:27:46 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,19
2026-04-17 05:38:12 -0400,2026-04-17 05:38:12 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-17 05:40:11 -0400,2026-04-17 05:40:11 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-17 05:53:06 -0400,2026-04-17 05:53:06 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-04-17 05:58:34 -0400,2026-04-17 05:58:34 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-17 06:16:27 -0400,2026-04-17 06:16:27 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-17 06:23:24 -0400,2026-04-17 06:23:24 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-17 06:35:50 -0400,2026-04-17 06:35:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-17 06:39:18 -0400,2026-04-17 06:39:18 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-17 06:54:12 -0400,2026-04-17 06:54:12 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2026-04-17 07:06:08 -0400,2026-04-17 07:06:08 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,13.5
2026-04-17 07:15:34 -0400,2026-04-17 07:15:34 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14.5
2026-04-17 07:21:02 -0400,2026-04-17 07:21:02 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,13.5
